RA,Dec,Distance,Name,Max
67.68791666666665,0.871638888888889,58.1,SN2001eb,2001/08/29
27.96283333333333,6.2909444444444444,74.4,SN2001ed,2001/08/11
112.77462499999999,59.477444444444444,56.75,SN2001eg,2001/08/29
56.1275,-44.639833333333335,15.0,SN2001el,2001/09/30
21.345416666666665,34.02513888888889,64.0,SN2001en,2001/10/11
74.25108333333333,-4.761166666666667,56.0,SN2001ep,2001/10/11
148.33641666666665,42.84541666666667,53.0,SN2001er,2001/10/04
144.48791666666665,25.494805555555555,64.0,SN2001fe,2001/11/15
320.17708333333326,44.39811111111111,48.0,SN2001fh,2001/11/08
133.0690833333333,-17.741611111111112,25.118,SN2001fu,2001/11/05
137.38825,50.28091666666666,70.0,SN2001G,2001/01/17
88.85891666666666,51.9095,86.627,SN2001gc,2001/11/24
333.9113333333333,37.29888888888889,86.718,SN2001ib,2001/12/08
336.29341666666664,42.71783333333334,82.666,SN2001iq,2001/12/24
174.20345833333332,-8.585277777777778,68.187,SN2001L,2001/01/11
159.992,24.090555555555554,97.0,SN2001N,2001/01/20
179.353875,25.2025,59.0,SN2001V,2001/03/05
153.92629166666666,55.668527777777776,98.0,SN2002bf,2002/03/04
203.2265,9.521666666666668,92.0,SN2002bi,2002/01/31
77.94337499999999,-15.136333333333333,53.6,SN2002bj,2002/03/03
154.52712499999998,21.82825,22.4,SN2002bo,2002/03/24
169.82583333333332,20.806416666666667,94.0,SN2002bp,2002/03/23
199.62625,-14.608833333333333,42.98,SN2002bs,2002/03/25
259.14833333333326,-10.342166666666667,76.2,SN2002bw,2002/03/30
267.57741666666664,-59.56433333333333,58.1,SN2002by,2002/03/31
305.8934166666666,58.3465,48.0,SN2002cd,2002/04/19
193.63041666666663,-6.856888888888888,57.0,SN2002cf,2002/04/18
211.65662499999996,-5.439416666666667,37.0,SN2002cr,2002/05/13
281.7498333333333,45.70547222222223,50.0,SN2002cs,2002/05/13
154.51533333333333,21.835055555555556,22.4,SN2002cv,2002/05/20
198.25141666666664,-19.51908333333333,37.0,SN2002dj,2002/06/24
274.4313333333333,22.248166666666666,83.167,SN2002dk,2002/06/19
335.2248333333333,33.29269444444444,57.0,SN2002dl,2002/06/27
299.05366666666663,40.43633333333333,71.0,SN2002do,2002/06/23
